#	queens	moves	run time
298	1	1	16288
299	1	4	39283
300	1	1	15330
301	2	1	15969
302	2	4	38324
303	1	3	31298
304	1	0	7346
305	2	0	7665
306	1	1	15649
307	3	3	31298
308	1	0	8304
309	2	3	31618
310	1	4	39921
311	2	1	15330
312	1	3	32576
313	1	3	35769
314	2	0	7665
315	2	2	22994
316	2	4	39602
317	4	0	7984
318	1	1	15330
319	1	7	66110
320	1	6	56209
321	1	0	8303
322	1	4	40241
323	2	0	7665
324	2	2	22676
325	2	5	45032
326	1	3	36408
327	3	0	7985
328	2	2	23953
329	1	2	22995
330	2	4	38005
331	1	4	40240
332	1	7	64832
333	1	6	55890
334	2	4	39602
335	1	1	15969
336	1	2	23314
337	2	4	38324
338	1	1	16288
339	2	4	38325
340	2	0	7665
341	2	0	7665
342	2	0	7665
343	1	3	30021
344	1	5	47906
345	1	4	38324
346	2	6	59722
347	1	4	40241
348	1	0	8304
349	1	3	30979
350	2	3	29702
351	2	3	30659
352	1	1	15649
353	3	0	7665
354	4	0	7665
355	2	4	38963
356	1	4	37686
357	1	5	103476
358	1	1	15649
359	2	2	22356
360	2	5	46948
361	1	4	37366
362	3	1	15969
363	1	3	30340
364	1	2	22676
365	2	4	38324
366	1	3	36089
367	1	3	30979
368	2	4	39602
369	2	6	55890
370	2	1	15649
371	3	4	39282
372	1	2	22675
373	2	3	38963
374	2	0	7984
375	4	0	7985
376	1	2	24272
377	1	1	15649
378	1	1	15650
379	2	0	7665
380	2	6	59083
381	2	3	30340
382	3	11	110183
383	3	3	32576
384	1	1	19162
385	2	0	8942
386	1	3	30660
387	2	5	123597
388	3	0	7345
389	1	2	1475176
390	1	4	41199
391	2	4	40880
392	2	0	7984
393	1	1	15969
394	3	1	15649
395	1	2	23953
396	1	2	22675
397	2	0	7665
398	1	1	15649
399	1	2	23314
400	2	1	15330
401	2	0	7346
402	1	4	38005
403	2	2	22675
404	1	1	15330
405	3	4	40241
406	2	4	38006
407	2	3	30979
408	1	5	45031
409	2	4	66429
410	1	1	15969
411	2	4	39283
412	3	0	7984
413	1	3	30979
414	2	0	7984
415	1	3	30659
416	3	0	7665
417	2	1	15330
418	1	9	85911
419	1	0	7665
420	1	2	23314
421	1	2	22675
422	1	4	102838
423	2	3	32257
424	2	6	58125
425	4	0	7984
426	3	1	15649
427	2	1	15011
428	2	2	23314
429	2	3	32895
430	1	1	15649
431	1	9	84953
432	2	1	14691
433	1	2	22995
434	2	3	29383
435	3	1	15011
436	3	0	7346
437	1	5	45670
438	1	1	15330
439	1	5	51419
440	1	3	31298
441	2	0	7665
442	2	0	7665
443	2	1	15010
444	1	1	16288
445	4	0	7984
446	1	3	30660
447	2	0	10220
448	1	2	53335
449	1	2	23314
450	1	8	80482
451	2	5	45351
452	1	1	15649
453	1	9	83036
454	3	0	7665
455	2	4	89424
456	1	3	29382
457	2	2	21717
458	3	0	9262
459	1	3	31298
460	1	3	33853
461	1	3	29701
462	1	0	8623
463	3	4	41518
464	1	2	22675
465	2	2	22675
466	1	3	29701
467	2	0	7346
468	1	5	47905
469	1	4	38005
470	1	1	15010
471	4	0	7665
472	1	1	15649
473	1	3	40879
474	1	7	64194
475	2	3	30341
476	2	2	22995
477	1	0	11817
478	2	4	38005
479	1	3	33215
480	3	0	8942
481	2	3	33215
482	1	2	23634
483	2	3	70262
484	1	7	67707
485	2	4	40241
486	4	0	8942
487	1	0	7985
488	1	2	30340
489	2	1	16608
490	2	2	24272
491	1	3	32576
492	2	4	39282
493	2	0	8304
494	1	2	23633
495	1	4	39602
496	1	2	24592
497	1	3	32256
498	2	7	65471
499	1	4	56848
500	1	4	45990
501	1	7	66110
502	1	1	16607
503	2	4	39602
504	2	9	84634
505	1	5	48225
506	2	3	31299
507	2	0	7984
508	1	5	47586
509	2	1	15969
510	1	3	31938
511	1	4	39602
512	2	2	24272
513	1	5	48225
514	1	1	16607
515	2	2	23633
516	2	2	35450
517	1	2	24273
518	2	4	40241
519	1	4	38963
520	1	1	15969
521	2	5	49503
522	1	4	41519
523	2	0	8304
524	1	1	15649
525	2	3	31618
526	1	2	24273
